koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_kepmag,koipos,koineg,koiperpos,koiperneg,koitimepos,koitimeneg,koidurpos,koidurneg,koidepthpos,koidepthneg,koipradpos,koipradneg,koiteqpos,koiteqneg,koinsolpos,koinsolneg,koisteffpos,koisteffneg,koisloggpos,koisloggneg,koisradpos,koisradneg
CONFIRMED,CANDIDATE,1,3.74443645,0.0000145,-0.0000145,133.55997,0.00308,-0.00308,2.9191,0.0876,-0.0876,73.3,3.4,-3.4,1.1,0.18,-0.17,1328,0,0,736.89,338.3,-247.13,25.4,5876,104,-116,4.269,0.125,-0.112,1.293,0.215,-0.196,12.71,3.74445095,3.74442195,3.74445095,3.74442195,133.56305,133.55689,3.0067,2.8315,76.7,69.9,1.28,0.93,1328,1328,1075.19,489.76,5980,5760,4.394,4.157,1.508,1.097
CANDIDATE,CANDIDATE,0.924,10.19154678,0.00007812,-0.00007812,136.69755,0.00647,-0.00647,6.165,0.143,-0.143,61.3,2.5,-2.5,1.39,0.09,-0.05,1144,0,0,404.17,77,-47.2,27.6,6212,80,-74,4.049,0.013,-0.015,1.684,0.107,-0.063,11.74,10.1916249,10.19146866,10.1916249,10.19146866,136.70402,136.69108,6.308,6.022,63.8,58.8,1.48,1.34,1144,1144,481.17,356.97,6292,6138,4.062,4.034,1.791,1.621
FALSE POSITIVE,FALSE POSITIVE,0,10.5815819,0.000001649,-0.000001649,183.008458,0.000119,-0.000119,6.66929,0.00948,-0.00948,112640,112,-112,53.19,14.8,-18.09,1098,0,0,342.98,301.34,-215.65,1241.4,6168,219,-241,4.074,0.336,-0.144,1.567,0.436,-0.533,13.936,10.58158354,10.58158025,10.58158354,10.58158025,183.008577,183.008339,6.67877,6.65981,112752,112528,67.99,35.1,1098,1098,644.32,127.33,6387,5927,4.41,3.93,2.003,1.034
FALSE POSITIVE,FALSE POSITIVE,0.488,2.819453322,0.00000183,-0.00000183,133.870141,0.00054,-0.00054,4.4127,0.0411,-0.0411,71867,443,-443,29.8,8.46,-5.63,1357,0,0,803.4,669.34,-329.56,202,5767,155,-155,4.33,0.18,-0.18,1.074,0.305,-0.203,14.569,2.819455152,2.819451492,2.819455152,2.819451492,133.870681,133.869601,4.4538,4.3716,72310,71424,38.26,24.17,1357,1357,1472.74,473.84,5922,5612,4.51,4.15,1.379,0.871
CANDIDATE,CANDIDATE,0.998,12.89006728,0.00006012,-0.00006012,201.22989,0.00325,-0.00325,3.555,0.117,-0.117,602.5,27.1,-27.1,1.93,0.06,-0.14,620,0,0,34.99,4.8,-6.92,23.6,4915,78,-88,4.512,0.072,-0.022,0.812,0.027,-0.058,15.674,12.8901274,12.89000716,12.8901274,12.89000716,201.23314,201.22664,3.672,3.438,629.6,575.4,1.99,1.79,620,620,39.79,28.07,4993,4827,4.584,4.49,0.839,0.754
CANDIDATE,CANDIDATE,0,23.21050996,0.000002125,-0.000002125,134.386378,0.0000747,-0.0000747,3.09802,0.00829,-0.00829,28737,47.6,-47.6,21.19,5.53,-1.83,595,0,0,29.69,22.9,-7.52,958.7,5875,161,-161,4.572,0.033,-0.187,0.809,0.211,-0.07,14.228,23.21051208,23.21050783,23.21051208,23.21050783,134.3864527,134.3863033,3.10631,3.08973,28784.6,28689.4,26.72,19.36,595,595,52.59,22.17,6036,5714,4.605,4.385,1.02,0.739
CONFIRMED,CANDIDATE,0.903,2.35574505,0.00001021,-0.00001021,177.88824,0.00323,-0.00323,1.796,0.115,-0.115,266.9,18,-18,1.34,0.04,-0.1,1093,0,0,338.4,46.37,-66.96,17,4915,78,-88,4.512,0.072,-0.022,0.812,0.027,-0.058,15.674,2.35575526,2.35573484,2.35575526,2.35573484,177.89147,177.88501,1.911,1.681,284.9,248.9,1.38,1.24,1093,1093,384.77,271.44,4993,4827,4.584,4.49,0.839,0.754
CANDIDATE,CANDIDATE,0.996,4.74666128,0.00002779,-0.00002779,134.63784,0.00478,-0.00478,2.093,0.156,-0.156,256.8,23.3,-23.3,1.3,0.04,-0.09,865,0,0,132.4,18.14,-26.2,12.5,4915,78,-88,4.512,0.072,-0.022,0.812,0.027,-0.058,15.674,4.74668907,4.74663349,4.74668907,4.74663349,134.64262,134.63306,2.249,1.937,280.1,233.5,1.34,1.21,865,865,150.54,106.2,4993,4827,4.584,4.49,0.839,0.754
CONFIRMED,CANDIDATE,1,19.65639342,0.00006986,-0.00006986,140.29937,0.00266,-0.00266,3.226,0.215,-0.215,843.2,37.3,-37.3,2.83,0.43,-0.22,549,0,0,21.5,10.59,-5.23,25.5,5288,159,-143,4.613,0.036,-0.09,0.74,0.112,-0.06,15.372,19.65646328,19.65632356,19.65646328,19.65632356,140.30203,140.29671,3.441,3.011,880.5,805.9,3.26,2.61,549,549,32.09,16.27,5447,5145,4.649,4.523,0.852,0.68
FALSE POSITIVE,FALSE POSITIVE,0,62.81584402,0.00009523,-0.00009523,151.47691,0.00121,-0.00121,2.6901,0.0607,-0.0607,1688.4,37.2,-37.2,57.62,10.23,-5.52,582,0,0,27.14,13.25,-6.84,54.6,6340,113,-139,4.23,0.076,-0.114,1.492,0.265,-0.143,12.849,62.81593925,62.81574879,62.81593925,62.81574879,151.47812,151.4757,2.7508,2.6294,1725.6,1651.2,67.85,52.1,582,582,40.39,20.3,6453,6201,4.306,4.116,1.757,1.349
CONFIRMED,CANDIDATE,0.365,70.468171,0.000268,-0.000268,189.15822,0.00345,-0.00345,6.653,0.12,-0.12,922.4,23.9,-23.9,3.46,1.11,-0.37,511,0,0,16.17,14.92,-4.98,45,6461,158,-225,4.396,0.067,-0.202,1.131,0.363,-0.121,14.811,70.468439,70.467903,70.468439,70.467903,189.16167,189.15477,6.773,6.533,946.3,898.5,4.57,3.09,511,511,31.09,11.19,6619,6236,4.463,4.194,1.494,1.01
FALSE POSITIVE,FALSE POSITIVE,0,56.86716792,0,0,157.2619128,0,0,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.886,56.86716792,56.86716792,56.86716792,56.86716792,157.2619128,157.2619128,4.23,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONFIRMED,CANDIDATE,1,3.93246069,0.00001036,-0.00001036,132.55435,0.00235,-0.00235,2.1763,0.0742,-0.0742,455.5,17.6,-17.6,1.65,0.1,-0.16,894,0,0,151.31,40.89,-40.08,30.6,4841,144,-129,4.533,0.072,-0.044,0.779,0.049,-0.074,15.32,3.93247105,3.93245033,3.93247105,3.93245033,132.5567,132.552,2.2505,2.1021,473.1,437.9,1.75,1.49,894,894,192.2,111.23,4985,4712,4.605,4.489,0.828,0.705
CONFIRMED,CANDIDATE,1,0.921030497,0.000002992,-0.000002992,132.03171,0.00264,-0.00264,2.6077,0.079,-0.079,101.5,4.3,-4.3,1.62,0.25,-0.35,2362,0,0,7380.64,3027.37,-3065.21,27,5843,79,-79,4.069,0.182,-0.084,1.615,0.252,-0.346,14.542,0.921033489,0.921027505,0.921033489,0.921027505,132.03435,132.02907,2.6867,2.5287,105.8,97.2,1.87,1.27,2362,2362,10408.01,4315.43,5922,5764,4.251,3.985,1.867,1.269
CONFIRMED,CANDIDATE,1,5.960400011,0.00000439,-0.00000439,137.265171,0.000636,-0.000636,2.8617,0.0441,-0.0441,828.3,7.3,-7.3,2.85,0.33,-0.12,890,0,0,148.26,50.61,-22.66,126.1,5418,98,-108,4.534,0.024,-0.102,0.886,0.104,-0.037,12.557,5.960404401,5.960395621,5.960404401,5.960395621,137.265807,137.264535,2.9058,2.8176,835.6,821,3.18,2.73,890,890,198.87,125.6,5516,5310,4.558,4.432,0.99,0.849
CONFIRMED,CANDIDATE,0.936,85.3514875,0.0001029,-0.0001029,161.007608,0.000939,-0.000939,6.7504,0.0404,-0.0404,4674.7,36.6,-36.6,6.31,0.86,-0.36,390,0,0,5.44,1.96,-0.89,142.8,5584,75,-83,4.478,0.045,-0.113,0.938,0.127,-0.054,15.061,85.3515904,85.3513846,85.3515904,85.3513846,161.008547,161.006669,6.7908,6.71,4711.3,4638.1,7.17,5.95,390,390,7.4,4.55,5659,5501,4.523,4.365,1.065,0.884
CANDIDATE,CANDIDATE,1,23.02028478,0.00002765,-0.00002765,357.786124,0.000837,-0.000837,3.544,0.131,-0.131,5077.8,62.7,-62.7,7.58,2.11,-0.71,604,0,0,31.4,26.25,-9.06,97.2,5613,166,-200,4.496,0.048,-0.192,0.956,0.266,-0.089,15.573,23.02031243,23.02025713,23.02031243,23.02025713,357.786961,357.785287,3.675,3.413,5140.5,5015.1,9.69,6.87,604,604,57.65,22.34,5779,5413,4.544,4.304,1.222,0.867
CONFIRMED,CANDIDATE,0.985,69.72646639,0.0000238,-0.0000238,196.093243,0.000276,-0.000276,3.7177,0.0108,-0.0108,4491.2,17.4,-17.4,11.65,2.12,-2.12,613,0,0,33.3,15.5,-12.14,300.7,6430,77,-83,4.107,0.149,-0.122,1.731,0.315,-0.315,13.005,69.72649019,69.72644259,69.72649019,69.72644259,196.093519,196.092967,3.7285,3.7069,4508.6,4473.8,13.77,9.53,613,613,48.8,21.16,6507,6347,4.256,3.985,2.046,1.416
CONFIRMED,CANDIDATE,1,1.609321941,0.000003044,-0.000003044,178.94178,0.00158,-0.00158,1.6067,0.0505,-0.0505,728.5,24.4,-24.4,1.57,0.07,-0.08,958,0,0,199.28,36.07,-33.23,35.3,4224,84,-84,4.662,0.025,-0.02,0.603,0.027,-0.03,15.937,1.609324985,1.609318897,1.609324985,1.609318897,178.94336,178.9402,1.6572,1.5562,752.9,704.1,1.64,1.49,958,958,235.35,166.05,4308,4140,4.687,4.642,0.63,0.573
CONFIRMED,CANDIDATE,0.975,9.51220046,0.0000321,-0.0000321,185.47893,0.00296,-0.00296,2.9497,0.0837,-0.0837,1169.4,40.2,-40.2,1.99,0.08,-0.1,530,0,0,18.66,3.38,-3.11,31.9,4224,84,-84,4.662,0.025,-0.02,0.603,0.027,-0.03,15.937,9.51223256,9.51216836,9.51223256,9.51216836,185.48189,185.47597,3.0334,2.866,1209.6,1129.2,2.07,1.89,530,530,22.04,15.55,4308,4140,4.687,4.642,0.63,0.573
CONFIRMED,CANDIDATE,0.987,4.72941177,0.00003075,-0.00003075,132.93871,0.00548,-0.00548,2.234,0.156,-0.156,434.3,33.7,-33.7,1.22,0.05,-0.06,669,0,0,47.3,8.56,-7.89,14.6,4224,84,-84,4.662,0.025,-0.02,0.603,0.027,-0.03,15.937,4.72944252,4.72938102,4.72944252,4.72938102,132.94419,132.93323,2.39,2.078,468,400.6,1.27,1.16,669,669,55.86,39.41,4308,4140,4.687,4.642,0.63,0.573
CONFIRMED,CANDIDATE,0.913,4.887803076,0.000000466,-0.000000466,124.8130808,0.0000751,-0.0000751,2.36255,0.00466,-0.00466,4315.8,6.1,-6.1,4.82,0.17,-0.18,800,0,0,96.67,14.91,-13.89,862.3,4778,86,-95,4.591,0.015,-0.036,0.763,0.028,-0.028,9.174,4.887803542,4.88780261,4.887803542,4.88780261,124.8131559,124.8130057,2.36721,2.35789,4321.9,4309.7,4.99,4.64,800,800,111.58,82.78,4864,4683,4.606,4.555,0.791,0.735
CONFIRMED,CANDIDATE,0.761,4.437962934,0.000000171,-0.000000171,171.0091259,0.0000288,-0.0000288,4.69813,0.00079,-0.00079,16388,5.3,-5.3,18.05,2.92,-3.57,1338,0,0,757.65,339.17,-311.08,3535.6,5953,105,-129,4.175,0.168,-0.112,1.415,0.229,-0.28,13.438,4.437963105,4.437962763,4.437963105,4.437962763,171.0091547,171.0090971,4.69892,4.69734,16393.3,16382.7,20.97,14.48,1338,1338,1096.82,446.57,6058,5824,4.343,4.063,1.644,1.135
CONFIRMED,CANDIDATE,0.999,20.74028645,0.00002965,-0.00002965,142.80003,0.00112,-0.00112,10.3939,0.0626,-0.0626,1023.3,7.5,-7.5,4.24,0.75,-0.57,798,0,0,95.68,46.87,-29.35,155.3,6226,112,-124,4.264,0.115,-0.115,1.299,0.231,-0.173,13.955,20.7403161,20.7402568,20.7403161,20.7402568,142.80115,142.79891,10.4565,10.3313,1030.8,1015.8,4.99,3.67,798,798,142.55,66.33,6338,6102,4.379,4.149,1.53,1.126
FALSE POSITIVE,FALSE POSITIVE,0,1.207852845,0.000000624,-0.000000624,178.2142,0.000411,-0.000411,3.5802,0.0328,-0.0328,49720,295,-295,38.59,8.19,-4.11,1539,0,0,1331.31,897.48,-391.37,205.9,5601,186,-169,4.533,0.07,-0.13,0.797,0.169,-0.085,15.559,1.207853469,1.207852221,1.207853469,1.207852221,178.214611,178.213789,3.613,3.5474,50015,49425,46.78,34.48,1539,1539,2228.79,939.94,5787,5432,4.603,4.403,0.966,0.712
FALSE POSITIVE,FALSE POSITIVE,0.759,2.379282197,0.000000406,-0.000000406,133.651365,0.000139,-0.000139,3.1729,0.00588,-0.00588,48434,106,-106,25.74,8.17,-2.93,1571,0,0,1442.19,1309.84,-463.54,538,6392,153,-230,4.399,0.054,-0.216,1.162,0.369,-0.132,15.189,2.379282603,2.379281791,2.379282603,2.379281791,133.651504,133.651226,3.17878,3.16702,48540,48328,33.91,22.81,1571,1571,2752.03,978.65,6545,6162,4.453,4.183,1.531,1.03
FALSE POSITIVE,FALSE POSITIVE,0,26.0692512,0.0001046,-0.0001046,143.12549,0.00342,-0.00342,7.487,0.152,-0.152,831.5,16.3,-16.3,23.61,6.53,-4.03,591,0,0,28.85,23.52,-11.29,59.7,5585,152,-169,4.409,0.148,-0.204,0.91,0.252,-0.155,14.106,26.0693558,26.0691466,26.0693558,26.0691466,143.12891,143.12207,7.639,7.335,847.8,815.2,30.14,19.58,591,591,52.37,17.56,5737,5416,4.557,4.205,1.162,0.755
CONFIRMED,CANDIDATE,0.964,9.69501146,0.00004657,-0.00004657,182.45413,0.00419,-0.00419,2.75,0.103,-0.103,515.2,30.9,-30.9,2.08,0.63,-0.2,833,0,0,114.06,102.7,-33.16,18.3,5896,176,-194,4.516,0.052,-0.208,0.914,0.274,-0.091,15.809,9.69505803,9.69496489,9.69505803,9.69496489,182.45832,182.44994,2.853,2.647,546.1,484.3,2.71,1.88,833,833,216.76,80.9,6072,5702,4.568,4.308,1.188,0.823
CONFIRMED,CANDIDATE,1,15.3825394,0.0001144,-0.0001144,139.07648,0.00547,-0.00547,3.815,0.162,-0.162,550.5,33,-33,2.14,0.64,-0.22,714,0,0,61.61,55.47,-17.92,18.4,5896,176,-194,4.516,0.052,-0.208,0.914,0.274,-0.091,15.809,15.3826538,15.382425,15.3826538,15.382425,139.08195,139.07101,3.977,3.653,583.5,517.5,2.78,1.92,714,714,117.08,43.69,6072,5702,4.568,4.308,1.188,0.823
FALSE POSITIVE,FALSE POSITIVE,0,1.818939148,0.00000345,-0.00000345,133.12299,0.00156,-0.00156,1.644,0.321,-0.321,331.2,17.1,-17.1,1.82,0.55,-0.18,1549,0,0,1364.15,1227.34,-395.19,39.3,6153,174,-196,4.487,0.052,-0.208,0.962,0.292,-0.097,15.134,1.818942598,1.818935698,1.818942598,1.818935698,133.12455,133.12143,1.965,1.323,348.3,314.1,2.37,1.64,1549,1549,2591.49,968.96,6327,5957,4.539,4.279,1.254,0.865
CONFIRMED,CANDIDATE,1,40.1097817,0.0001409,-0.0001409,142.08227,0.00285,-0.00285,5.2096,0.0869,-0.0869,732,20.8,-20.8,3.11,0.48,-0.54,556,0,0,22.65,9.49,-7.96,40.3,5509,82,-71,4.265,0.168,-0.112,1.169,0.183,-0.203,14.904,40.1099226,40.1096408,40.1099226,40.1096408,142.08512,142.07942,5.2965,5.1227,752.8,711.2,3.59,2.57,556,556,32.14,14.69,5591,5438,4.433,4.153,1.352,0.966
CANDIDATE,CANDIDATE,0.998,0.708621057,0.000001357,-0.000001357,133.36565,0.00166,-0.00166,1.5041,0.0526,-0.0526,187.5,7.3,-7.3,1.2,0.12,-0.09,1846,0,0,2741.07,857.46,-579.6,30.5,5422,108,-108,4.484,0.063,-0.077,0.887,0.09,-0.067,14.991,0.708622414,0.7086197,0.708622414,0.7086197,133.36731,133.36399,1.5567,1.4515,194.8,180.2,1.32,1.11,1846,1846,3598.53,2161.47,5530,5314,4.547,4.407,0.977,0.82
CONFIRMED,CANDIDATE,0.959,2.46106962,0.0000128,-0.0000128,133.32138,0.00431,-0.00431,2.184,0.11,-0.11,84.2,5.3,-5.3,0.84,0.1,-0.04,1195,0,0,483.09,164.9,-73.83,18,5418,98,-108,4.534,0.024,-0.102,0.886,0.104,-0.037,12.557,2.46108242,2.46105682,2.46108242,2.46105682,133.32569,133.31707,2.294,2.074,89.5,78.9,0.94,0.8,1195,1195,647.99,409.26,5516,5310,4.558,4.432,0.99,0.849
FALSE POSITIVE,FALSE POSITIVE,1,3.403743926,0.000002892,-0.000002892,137.232574,0.000682,-0.000682,1.5017,0.04,-0.04,815.9,17.4,-17.4,10.77,2.74,-0.98,1101,0,0,346.98,260.77,-93.62,59.5,5596,152,-169,4.533,0.044,-0.165,0.853,0.217,-0.078,14.98,3.403746818,3.403741034,3.403746818,3.403741034,137.233256,137.231892,1.5417,1.4617,833.3,798.5,13.51,9.79,1101,1101,607.75,253.36,5748,5427,4.577,4.368,1.07,0.775
CONFIRMED,CANDIDATE,1,8.03753796,0.00002269,-0.00002269,139.3582,0.00237,-0.00237,2.9118,0.068,-0.068,286.5,10.5,-10.5,1.54,0.2,-0.17,744,0,0,72.44,31.29,-22.28,31.1,5044,151,-151,4.511,0.085,-0.57,0.804,0.103,-0.093,14.471,8.03756065,8.03751527,8.03756065,8.03751527,139.36057,139.35583,2.9798,2.8438,297,276,1.74,1.37,744,744,103.73,50.16,5195,4893,4.596,3.941,0.907,0.711
FALSE POSITIVE,FALSE POSITIVE,0.983,2.43902575,0.000005941,-0.000005941,133.58474,0.00206,-0.00206,1.1598,0.0723,-0.0723,82.5,5.3,-5.3,2.61,0.55,-0.56,2307,0,0,6700.04,3618.22,-2733.72,20.5,6546,78,-78,3.817,0.165,-0.135,2.784,0.59,-0.59,11.041,2.439031691,2.439019809,2.439031691,2.439019809,133.5868,133.58268,1.2321,1.0875,87.8,77.2,3.16,2.05,2307,2307,10318.26,3966.32,6624,6468,3.982,3.682,3.374,2.194
CONFIRMED,CANDIDATE,0.999,56.3587987,0.0002655,-0.0002655,222.31819,0.00368,-0.00368,6.927,0.268,-0.268,2559.6,68.8,-68.8,5.04,0.96,-0.52,419,0,0,7.29,4.34,-2.1,44.4,5446,162,-162,4.525,0.072,-0.126,0.821,0.157,-0.085,15.792,56.3590642,56.3585332,56.3590642,56.3585332,222.32187,222.31451,7.195,6.659,2628.4,2490.8,6,4.52,419,419,11.63,5.19,5608,5284,4.597,4.399,0.978,0.736
CONFIRMED,CANDIDATE,0.693,242.467406,0.0026,-0.0026,150.85827,0.00742,-0.00742,12.808,0.265,-0.265,340.3,15.2,-15.2,1.73,0.21,-0.22,286,0,0,1.59,0.59,-0.45,23.2,5637,113,-101,4.399,0.132,-0.088,0.943,0.117,-0.117,13.749,242.470006,242.464806,242.470006,242.464806,150.86569,150.85085,13.073,12.543,355.5,325.1,1.94,1.51,286,286,2.18,1.14,5750,5536,4.531,4.311,1.06,0.826
CANDIDATE,CANDIDATE,0.922,169.4976085,0.0006769,-0.0006769,228.99997,0.00276,-0.00276,7.77,0.2,-0.2,12192,169,-169,9.06,0.9,-0.28,272,0,0,1.29,0.37,-0.14,82.8,5270,84,-73,4.592,0.009,-0.077,0.787,0.078,-0.024,15.917,169.4982854,169.4969316,169.4982854,169.4969316,229.00273,228.99721,7.97,7.57,12361,12023,9.96,8.78,272,272,1.66,1.15,5354,5197,4.601,4.515,0.865,0.763
CONFIRMED,CANDIDATE,0.961,76.13622222,0.00005204,-0.00005204,199.476237,0.000554,-0.000554,7.9393,0.0329,-0.0329,2949.5,10,-10,4.78,0.6,-0.31,399,0,0,6.01,2.24,-1.15,339.4,5591,111,-111,4.494,0.053,-0.098,0.892,0.113,-0.057,12.45,76.13627426,76.13617018,76.13627426,76.13617018,199.476791,199.475683,7.9722,7.9064,2959.5,2939.5,5.38,4.47,399,399,8.25,4.86,5702,5480,4.547,4.396,1.005,0.835
FALSE POSITIVE,FALSE POSITIVE,0,4.9883872,0.00002686,-0.00002686,358.2335,0.00369,-0.00369,9.142,0.293,-0.293,638.2,14.4,-14.4,2.59,0.74,-0.25,990,0,0,227.27,197.71,-64.86,52.9,5819,174,-192,4.565,0.034,-0.184,0.823,0.238,-0.079,15.752,4.98841406,4.98836034,4.98841406,4.98836034,358.23719,358.22981,9.435,8.849,652.6,623.8,3.33,2.34,990,990,424.98,162.41,5993,5627,4.599,4.381,1.061,0.744
FALSE POSITIVE,FALSE POSITIVE,0,2.586878667,0.000001826,-0.000001826,133.817008,0.000582,-0.000582,6.1614,0.0586,-0.0586,25480,119,-119,19.84,5.89,-2.52,1666,0,0,1823.52,1551.84,-616.21,261.3,6812,165,-235,4.343,0.084,-0.182,1.172,0.348,-0.149,12.897,2.586880493,2.586876841,2.586880493,2.586876841,133.81759,133.816426,6.22,6.1028,25599,25361,25.73,17.32,1666,1666,3375.36,1207.31,6977,6577,4.427,4.161,1.52,1.023
FALSE POSITIVE,FALSE POSITIVE,0.186,3.964333304,0.000001301,-0.000001301,136.029542,0.000268,-0.000268,4.7136,0.0141,-0.0141,25886,73.7,-73.7,37.09,6.08,-11.3,1680,0,0,1881.78,806.68,-1019.43,408.5,5758,77,-77,3.808,0.233,-0.093,2.318,0.38,-0.706,14.985,3.964334605,3.964332003,3.964334605,3.964332003,136.02981,136.029274,4.7277,4.6995,25959.7,25812.3,43.17,25.79,1680,1680,2688.46,862.35,5835,5681,4.041,3.715,2.698,1.612
FALSE POSITIVE,FALSE POSITIVE,0,1.525924389,0.000000386,-0.000000386,355.479571,0.000181,-0.000181,3.15998,0.00992,-0.00992,24627,70.4,-70.4,49.86,17.22,-6.91,1722,0,0,2072.8,2170.29,-776.23,423.9,6203,194,-259,4.427,0.072,-0.217,1.06,0.366,-0.147,15.063,1.525924775,1.525924003,1.525924775,1.525924003,355.479752,355.47939,3.1699,3.15006,24697.4,24556.6,67.08,42.95,1722,1722,4243.09,1296.57,6397,5944,4.499,4.21,1.426,0.913
FALSE POSITIVE,FALSE POSITIVE,0.926,5.910371418,0.000000705,-0.000000705,360.2852478,0.0000839,-0.0000839,3.88962,0.00306,-0.00306,17219,19.3,-19.3,12.62,3.84,-1.28,1053,0,0,290.83,270.46,-91.57,990.3,6200,200,-250,4.488,0.05,-0.2,0.958,0.291,-0.097,15.169,5.910372123,5.910370713,5.910372123,5.910370713,360.2853317,360.2851639,3.89268,3.88656,17238.3,17199.7,16.46,11.34,1053,1053,561.29,199.26,6400,5950,4.538,4.288,1.249,0.861
CANDIDATE,CANDIDATE,0.733,0.917568975,0.00000051,-0.00000051,133.932419,0.000454,-0.000454,2.0654,0.0716,-0.0716,15805,161,-161,11.92,2.89,-0.96,1748,0,0,2197.57,1578.95,-572.78,128.1,5713,154,-188,4.541,0.031,-0.168,0.893,0.217,-0.072,14.456,0.917569485,0.917568465,0.917569485,0.917568465,133.932873,133.931965,2.137,1.9938,15966,15644,14.81,10.96,1748,1748,3776.52,1624.79,5867,5525,4.572,4.373,1.11,0.821
CONFIRMED,CANDIDATE,1,5.92365747,0.00001633,-0.00001633,134.68361,0.00216,-0.00216,2.6302,0.0722,-0.0722,406.5,17.3,-17.3,0.99,0.07,-0.09,531,0,0,18.87,4.43,-4.65,26.4,3883,69,-93,4.762,0.04,-0.036,0.496,0.036,-0.044,15.157,5.9236738,5.92364114,5.9236738,5.92364114,134.68577,134.68145,2.7024,2.558,423.8,389.2,1.06,0.9,531,531,23.3,14.22,3952,3790,4.802,4.726,0.532,0.452
CONFIRMED,CANDIDATE,0.738,105.3582299,0.000525,-0.000525,138.68069,0.00327,-0.00327,3.81,0.137,-0.137,1210.2,56.1,-56.1,1.87,0.13,-0.17,204,0,0,0.41,0.09,-0.1,22.6,3883,69,-93,4.762,0.04,-0.036,0.496,0.036,-0.044,15.157,105.3587549,105.3577049,105.3587549,105.3577049,138.68396,138.67742,3.947,3.673,1266.3,1154.1,2,1.7,204,204,0.5,0.31,3952,3790,4.802,4.726,0.532,0.452
CONFIRMED,CANDIDATE,0.998,3.24325988,0.000000209,-0.000000209,133.6690203,0.0000524,-0.0000524,3.03318,0.00154,-0.00154,16451,11.8,-11.8,12.91,2.11,-0.91,1243,0,0,563.17,236.5,-104.64,1586.2,5823,69,-87,4.438,0.051,-0.127,1.013,0.166,-0.071,14.952,3.243260089,3.243259671,3.243260089,3.243259671,133.6690727,133.6689679,3.03472,3.03164,16462.8,16439.2,15.02,12,1243,1243,799.67,458.53,5892,5736,4.489,4.311,1.179,0.942
CANDIDATE,CANDIDATE,1,7.79668781,0.00002065,-0.00002065,134.42081,0.0022,-0.0022,4.6699,0.0639,-0.0639,361.3,8.7,-8.7,2.44,0.49,-0.13,1116,0,0,366.42,199.97,-65.89,48.5,6521,117,-143,4.352,0.025,-0.136,1.276,0.255,-0.068,12.681,7.79670846,7.79666716,7.79670846,7.79666716,134.42301,134.41861,4.7338,4.606,370,352.6,2.93,2.31,1116,1116,566.39,300.53,6638,6378,4.377,4.216,1.531,1.208
CONFIRMED,CANDIDATE,0.986,56.4758069,0.0001281,-0.0001281,143.81128,0.00187,-0.00187,5.961,0.169,-0.169,1091.8,16.7,-16.7,3.22,0.25,-0.14,417,0,0,7.14,1.61,-0.96,70,5497,74,-82,4.57,0.014,-0.063,0.839,0.065,-0.035,14.279,56.475935,56.4756788,56.475935,56.4756788,143.81315,143.80941,6.13,5.792,1108.5,1075.1,3.47,3.08,417,417,8.75,6.18,5571,5415,4.584,4.507,0.904,0.804
CONFIRMED,CANDIDATE,1,92.8747294,0.0004961,-0.0004961,145.93535,0.00377,-0.00377,7.474,0.217,-0.217,658.8,18.2,-18.2,2.64,0.21,-0.11,353,0,0,3.68,0.83,-0.5,37.9,5497,74,-82,4.57,0.014,-0.063,0.839,0.065,-0.035,14.279,92.8752255,92.8742333,92.8752255,92.8742333,145.93912,145.93158,7.691,7.257,677,640.6,2.85,2.53,353,353,4.51,3.18,5571,5415,4.584,4.507,0.904,0.804
CONFIRMED,CANDIDATE,0.999,1.538180949,0.000001615,-0.000001615,131.822823,0.000896,-0.000896,1.2635,0.0538,-0.0538,841,22.4,-22.4,1,0.23,-0.18,602,0,0,30.85,19.76,-11.82,47.7,3364,74,-67,4.978,0.07,-0.07,0.274,0.062,-0.05,15.722,1.538182564,1.538179334,1.538182564,1.538179334,131.823719,131.821927,1.3173,1.2097,863.4,818.6,1.23,0.82,602,602,50.61,19.03,3438,3297,5.048,4.908,0.336,0.224
CONFIRMED,CANDIDATE,1,10.4188915,0.00002388,-0.00002388,137.74971,0.00193,-0.00193,3.0069,0.0485,-0.0485,670,18.5,-18.5,3.17,0.93,-0.57,855,0,0,126.48,111.61,-51.22,42.1,5692,173,-173,4.36,0.132,-0.198,1.064,0.311,-0.191,14.86,10.41891538,10.41886762,10.41891538,10.41886762,137.75164,137.74778,3.0554,2.9584,688.5,651.5,4.1,2.6,855,855,238.09,75.26,5865,5519,4.492,4.162,1.375,0.873
