koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_kepmag,koipos,koineg,koiperpos,koiperneg,koitimepos,koitimeneg,koidurpos,koidurneg,koidepthpos,koidepthneg,koipradpos,koipradneg,koiteqpos,koiteqneg,koinsolpos,koinsolneg,koisteffpos,koisteffneg,koisloggpos,koisloggneg,koisradpos,koisradneg
CONFIRMED,CANDIDATE,1,2.204735417,0.000000043,-0.000000043,121.3585417,0.000016,-0.000016,3.88864,0.00203,-0.00203,6674.7,1.7,-1.7,16.1,0.81,-0.91,2048,0,0,4148.92,651.59,-654.46,5945.9,6440,76,-89,4.019,0.033,-0.027,1.952,0.099,-0.11,10.463,2.20473546,2.204735374,2.20473546,2.204735374,121.3585577,121.3585257,3.89067,3.88661,6676.4,6673,16.91,15.19,2048,2048,4800.51,3494.46,6516,6351,4.052,3.992,2.051,1.842
CONFIRMED,CANDIDATE,0.998,3.522498429,0.000000198,-0.000000198,121.1194228,0.0000471,-0.0000471,3.19843,0.00653,-0.00653,9145.7,6.6,-6.6,14.59,1.11,-1.11,1521,0,0,1264.67,307.23,-276.48,1741.5,6225,112,-137,4.169,0.055,-0.045,1.451,0.11,-0.11,13.563,3.522498627,3.522498231,3.522498627,3.522498231,121.1194699,121.1193757,3.20496,3.1919,9152.3,9139.1,15.7,13.48,1521,1521,1571.9,988.19,6337,6088,4.224,4.124,1.561,1.341
CONFIRMED,CANDIDATE,1,3.709214104,0.000006536,-0.000006536,133.98318,0.00143,-0.00143,2.6302,0.0427,-0.0427,131.1,3,-3,1.16,0.17,-0.12,1206,0,0,500.46,197.96,-130.54,50.6,5833,105,-117,4.407,0.085,-0.114,1.022,0.143,-0.107,12.772,3.70922064,3.709207568,3.70922064,3.709207568,133.98461,133.98175,2.6729,2.5875,134.1,128.1,1.33,1.04,1206,1206,698.42,369.92,5938,5716,4.492,4.293,1.165,0.915
FALSE POSITIVE,FALSE POSITIVE,0,11.52144606,0.00000198,-0.00000198,170.839688,0.000131,-0.000131,3.6399,0.0114,-0.0114,17984,31.9,-31.9,150.51,39.76,-13.31,753,0,0,75.88,58.89,-19.99,622.1,5795,155,-172,4.554,0.033,-0.176,0.848,0.224,-0.075,15.472,11.52144804,11.52144408,11.52144804,11.52144408,170.839819,170.839557,3.6513,3.6285,18015.9,17952.1,190.27,137.2,753,753,134.77,55.89,5950,5623,4.587,4.378,1.072,0.773
FALSE POSITIVE,FALSE POSITIVE,0,19.40393776,0.00002068,-0.00002068,172.484253,0.000842,-0.000842,12.2155,0.0598,-0.0598,8918.7,53.3,-53.3,7.18,0.76,-0.68,523,0,0,17.69,6.66,-4.88,214.7,5043,151,-151,4.591,0.072,-0.048,0.68,0.072,-0.065,15.487,19.40395844,19.40391708,19.40395844,19.40391708,172.485095,172.483411,12.2753,12.1557,8972,8865.4,7.94,6.5,523,523,24.35,12.81,5194,4892,4.663,4.543,0.752,0.615
FALSE POSITIVE,FALSE POSITIVE,0,19.22138894,0.000001123,-0.000001123,184.5521637,0.000045,-0.000045,4.79843,0.00235,-0.00235,74284,21.9,-21.9,49.29,16.03,-5,698,0,0,55.97,54.55,-16.4,2317,6117,182,-200,4.496,0.052,-0.208,0.947,0.308,-0.096,15.341,19.22139007,19.22138782,19.22139007,19.22138782,184.5522087,184.5521187,4.80078,4.79608,74305.9,74262.1,65.32,44.29,698,698,110.52,39.57,6299,5917,4.548,4.288,1.255,0.851
FALSE POSITIVE,FALSE POSITIVE,0,16.46983774,0.00001361,-0.00001361,180.881761,0.000623,-0.000623,9.4378,0.06,-0.06,10479,39.9,-39.9,7.94,0.89,-0.89,595,0,0,29.61,12.01,-8.91,303.4,5152,168,-153,4.517,0.088,-0.072,0.786,0.088,-0.088,15.788,16.46985135,16.46982413,16.46985135,16.46982413,180.882384,180.881138,9.4978,9.3778,10518.9,10439.1,8.83,7.05,595,595,41.62,20.7,5320,4999,4.605,4.445,0.874,0.698
CONFIRMED,CANDIDATE,1,9.27358173,0.00001037,-0.00001037,173.258155,0.000877,-0.000877,3.2875,0.0309,-0.0309,1288.3,16.8,-16.8,2.47,0.2,-0.24,649,0,0,41.85,12.49,-11.7,87.2,4856,131,-146,4.583,0.065,-0.035,0.696,0.056,-0.068,15.302,9.2735921,9.27357136,9.2735921,9.27357136,173.259032,173.257278,3.3184,3.2566,1305.1,1271.5,2.67,2.23,649,649,54.34,30.15,4987,4710,4.648,4.548,0.752,0.628
CONFIRMED,CANDIDATE,1,6.02930329,0.000005509,-0.000005509,171.602959,0.000713,-0.000713,1.5821,0.0311,-0.0311,1912.7,34.4,-34.4,2.85,0.26,-0.15,678,0,0,50.04,16.4,-9.88,65.4,4537,123,-123,4.648,0.02,-0.056,0.672,0.062,-0.036,15.784,6.029308799,6.029297781,6.029308799,6.029297781,171.603672,171.602246,1.6132,1.551,1947.1,1878.3,3.11,2.7,678,678,66.44,40.16,4660,4414,4.668,4.592,0.734,0.636
FALSE POSITIVE,FALSE POSITIVE,0,2.696370652,0.000007534,-0.000007534,170.73769,0.00234,-0.00234,3.6129,0.0686,-0.0686,397.9,9.5,-9.5,1.58,0.13,-0.16,1066,0,0,305.34,96.64,-86.33,48.2,4989,149,-149,4.504,0.09,-0.06,0.819,0.067,-0.082,15.269,2.696378186,2.696363118,2.696378186,2.696363118,170.74003,170.73535,3.6815,3.5443,407.4,388.4,1.71,1.42,1066,1066,401.98,219.01,5138,4840,4.594,4.444,0.886,0.737
