default_flag,disposition,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,st_rad,st_raderr1,st_raderr2,st_radlim,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,orbpos,orbneg,radepos,radjpos,radpos,radneg,distpos,vmagpos,vmagneg,kmagpos,kmagneg,gaiamagpos,gaiamagneg
0,CONFIRMED,1,41.688644,0.003353,-0.003419,0,2.35545351,0.30999992,-0.16677291,0,0.21013949,0.02765634,-0.01487848,0,0.956122,0.098585,-0.054675,0,179.461,1.257,-1.24,10.849,0.012,-0.012,9.368,0.018,-0.018,10.8644,0.000249,-0.000249,41.69199699999999,41.685224999999996,2.1886805999999996,0.19526101,1.054707,0.901447,178.221,10.861,10.837,9.386,9.35,10.864649,10.864151
0,CONFIRMED,1,41.6855,0.003,-0.0031,0,2.23,0.14,-0.11,0,0.19894727,0.01248996,-0.00981354,0,0.928,0.055,-0.04,0,179.461,1.257,-1.24,10.849,0.012,-0.012,9.368,0.018,-0.018,10.8644,0.000249,-0.000249,41.6885,41.682399999999994,2.12,0.18913373,0.9830000000000001,0.888,178.221,10.861,10.837,9.386,9.35,10.864649,10.864151
1,CONFIRMED,1,41.6855,0.003,-0.003,0,2.57807,0.11209,-0.11209,0,0.23,0.01,-0.01,0,1.08,0.06,-0.06,0,179.461,1.257,-1.24,10.849,0.012,-0.012,9.368,0.018,-0.018,10.8644,0.000249,-0.000249,41.6885,41.6825,2.46598,0.22,1.1400000000000001,1.02,178.221,10.861,10.837,9.386,9.35,10.864649,10.864151
1,CANDIDATE,0,2.30183,0.00028,-0.0003,0,1.12,0.11,-0.08,0,0.0999,0.0098,-0.007,0,0.762602,0.053651,-0.037585,0,97.1795,0.4642,-0.4598,11.727,0.046,-0.046,9.22,0.019,-0.019,11.3995,0.001307,-0.001307,2.30211,2.3015299999999996,1.04,0.0929,0.816253,0.725017,96.7197,11.773,11.681000000000001,9.239,9.201,11.400807,11.398193
0,CANDIDATE,0,2.302368,0.000105,-0.000103,0,1.31258765,0.524177,-0.12081424,0,0.12,0.05,-0.01,0,0.710995,0.018609,-0.020398,0,97.1795,0.4642,-0.4598,11.727,0.046,-0.046,9.22,0.019,-0.019,11.3995,0.001307,-0.001307,2.302473,2.302265,1.19177341,0.11,0.729604,0.690597,96.7197,11.773,11.681000000000001,9.239,9.201,11.400807,11.398193
1,CANDIDATE,0,1.1947488,0,0,0,4.19,0,0,0,0.37380676,0,0,0,0.57,0,0,0,290.062,18.356,-16.325,19.21,0.2,-0.2,14.23,0.07,-0.07,17.8892,0.001662,-0.001662,1.1947488,1.1947488,4.19,0.37380676,0.57,0.57,273.737,19.41,19.01,14.3,14.16,17.890862,17.887538
0,CANDIDATE,0,6.178369,0.000195,-0.000172,0,9.91257877,0.52940607,-0.36218238,0,0.88,0.05,-0.03,0,0.789478,0.025322,-0.017327,0,117.704,0.778,-0.767,11.733,0.046,-0.046,9.43,0.021,-0.021,11.4806,0.000478,-0.000478,6.178564,6.178197,9.55039639,0.85,0.8148,0.772151,116.937,11.779,11.687000000000001,9.451,9.408999999999999,11.481078,11.480122000000001
1,CANDIDATE,0,6.17887,7e-05,-7.00E-05,0,8.84,0.14,-0.13,0,0.789,0.012,-0.012,0,0.849432,0.053904,-0.052076,0,117.704,0.778,-0.767,11.733,0.046,-0.046,9.43,0.021,-0.021,11.4806,0.000478,-0.000478,6.17894,6.1788,8.709999999999999,0.777,0.9033359999999999,0.797356,116.937,11.779,11.687000000000001,9.451,9.408999999999999,11.481078,11.480122000000001
1,CANDIDATE,0,1.17589,0.0001,-0.0001,0,0.86,0.18,-0.26,0,0.077,0.016,-0.023,0,0.309,0.057,-0.07,0,166.5844,0,0,16.64,0.2,-0.2,11.397,0.023,-0.023,0,0,0,1.17599,1.1757900000000001,0.6,0.054,0.366,0.239,166.5844,16.84,16.44,11.42,11.374,0,0
1,CANDIDATE,0,10.6966,0.002,-0.0021,0,1.45,0.18,-0.36,0,0.129,0.016,-0.032,0,0.588,0.041,-0.015,0,212.291,1.408,-1.39,14.346,0.183,-0.183,11.43,0.023,-0.023,13.9562,0.000535,-0.000535,10.6986,10.6945,1.0899999999999999,0.097,0.629,0.573,210.901,14.529,14.163,11.453,11.407,13.956735,13.955665000000002
1,CANDIDATE,0,1.5374115,6.2e-06,-6.10E-06,0,45,12,-17,0,4,1.1,-1.5,0,1.599,0.047,-0.044,0,666.23,22.917,-21.467,12.382,0.092,-0.092,10.797,0.024,-0.024,12.0464,0.00129,-0.00129,1.5374177,1.5374054,28,2.5,1.646,1.555,644.763,12.474,12.29,10.821,10.773000000000001,12.04769,12.045110000000001
1,CANDIDATE,0,2.71189,0.00068,-0.00056,0,4.34,0.43,-0.35,0,0.387,0.038,-0.031,0,3.16745,0.174094,-0.203167,0,1032.42,45.09,-41.543,11.461,0.016,-0.016,10.777,0.023,-0.023,11.8357,0.000338,-0.000338,2.71257,2.71133,3.9899999999999998,0.356,3.3415440000000003,2.964283,990.8770000000001,11.477,11.445,10.8,10.754,11.836037999999999,11.835362
1,CANDIDATE,2,18.10549,0.010083,-0.012897,0,2.09985108,0.30569846,-0.20056538,0,0.19,0.03,-0.02,0,1.224685,0.11631,-0.071545,0,266.864,3.516,-3.428,10.971,0.012,-0.012,9.591,0.021,-0.021,10.7424,0.000405,-0.000405,18.115573,18.092593,1.8992857,0.17,1.340995,1.15314,263.436,10.983,10.959,9.612,9.569999999999999,10.742805,10.741995
1,CONFIRMED,1,6.7987,0.0001,-0.0001,0,1.047,0.276,-0.257,0,0.09340708,0.02462307,-0.022928,0,0.282,0.074,-0.069,0,0,0,0,17.6984,0.0471,-0.0471,12.619,0.027,-0.027,16.4386,0.007283,-0.007283,6.7988,6.7986,0.7899999999999999,0.07047908,0.356,0.21299999999999997,0,17.7455,17.6513,12.645999999999999,12.592,16.445883000000002,16.431317
1,CANDIDATE,0,79.9999,0.0098,-0.0098,0,10.2,2.1,-2.1,0,0.91,0.19,-0.19,0,0.508,0.098,-0.098,0,333.46,7.579,-7.255,14.258,0.149,-0.149,11.604,0.023,-0.023,13.9651,0.000401,-0.000401,80.0097,79.9901,8.1,0.72,0.606,0.41000000000000003,326.205,14.406999999999998,14.109,11.626999999999999,11.581,13.965501,13.964699
1,CANDIDATE,0,0,0,0,0,30,8.3,-10.6,0,3,0.74,-0.946,0,0.707,0.05,-0.05,0,333.46,7.579,-7.255,14.258,0.149,-0.149,11.604,0.023,-0.023,13.9651,0.000401,-0.000401,0,0,19.4,2.0540000000000003,0.757,0.6569999999999999,326.205,14.406999999999998,14.109,11.626999999999999,11.581,13.965501,13.964699
1,CANDIDATE,0,17.77297,9e-05,-9.00E-05,0,26.44,0.65,-0.65,0,2.359,0.058,-0.058,0,1.25428,0.066004,-0.055051,0,601.265,9.088,-8.827,13.327,0.08,-0.08,11.65,0.019,-0.019,13.0873,0.000521,-0.000521,17.77306,17.77288,25.790000000000003,2.301,1.320284,1.199229,592.438,13.407,13.247,11.669,11.631,13.087821000000002,13.086779
1,CANDIDATE,0,0.99656225,0,0,0,32.8,0,0,0,2.92622,0,0,0,0.5,0,0,0,335.632,6.7025,-6.7025,16.226,0.286,-0.286,12.335,0.027,-0.027,15.4518,0.001097,-0.001097,0.99656225,0.99656225,32.8,2.92622,0.5,0.5,328.9295,16.512,15.94,12.362,12.308000000000002,15.452897,15.450703
0,CANDIDATE,0,14.912381,0,0,0,3.55,0,0,0,0.31670979,0,0,0,0.65,0,0,0,360.103,5.725,-5.552,15.537,0.046,-0.046,12.424,0.027,-0.027,15.0437,0.000289,-0.000289,14.912381,14.912381,3.55,0.31670979,0.65,0.65,354.551,15.583,15.491000000000001,12.450999999999999,12.397,15.043989,15.043410999999999
